Date,Open,High,Low,Close,Volume
2017-04-19 18:23:00,2346.06,2346.11,2345.75,2346.07,0.0
2017-04-19 18:24:00,2346.09,2346.27,2346.05,2346.06,0.0
2017-04-19 18:25:00,2345.69,2346.11,2345.68,2346.1,0.0
2017-04-19 18:26:00,2345.6,2345.86,2345.6,2345.74,0.0
2017-04-19 18:27:00,2345.58,2345.73,2345.55,2345.59,0.0
2017-04-19 18:28:00,2345.67,2345.76,2345.57,2345.6,0.0
2017-04-19 18:29:00,2345.21,2345.73,2345.21,2345.68,0.0
2017-04-19 18:30:00,2345.4,2345.57,2345.17,2345.18,0.0
2017-04-19 18:31:00,2345.59,2345.59,2345.28,2345.39,0.0
2017-04-19 18:32:00,2345.58,2345.88,2345.57,2345.76,0.0
2017-04-19 18:33:00,2345.79,2345.8,2345.52,2345.58,0.0
2017-04-19 18:34:00,2346.02,2346.02,2345.78,2345.78,0.0
2017-04-19 18:35:00,2346.19,2346.26,2346.02,2346.02,0.0
2017-04-19 18:36:00,2346.13,2346.35,2345.98,2346.2,0.0
2017-04-19 18:37:00,2345.89,2346.32,2345.89,2346.14,0.0
2017-04-19 18:38:00,2345.68,2345.84,2345.52,2345.76,0.0
2017-04-19 18:39:00,2345.71,2345.78,2345.64,2345.68,0.0
2017-04-19 18:40:00,2345.94,2345.94,2345.71,2345.71,0.0
2017-04-19 18:41:00,2346.16,2346.17,2345.9,2345.93,0.0
2017-04-19 18:42:00,2345.99,2346.27,2345.99,2346.17,0.0
2017-04-19 18:43:00,2345.97,2346.04,2345.79,2345.98,0.0
2017-04-19 18:44:00,2345.85,2345.99,2345.83,2345.99,0.0
2017-04-19 18:45:00,2345.46,2345.9,2345.46,2345.84,0.0
2017-04-19 18:46:00,2345.96,2345.96,2345.28,2345.45,0.0
2017-04-19 18:47:00,2345.95,2346.14,2345.89,2345.97,0.0
2017-04-19 18:48:00,2345.57,2345.95,2345.5,2345.94,0.0
2017-04-19 18:49:00,2345.63,2345.63,2345.52,2345.58,0.0
2017-04-19 18:50:00,2345.53,2345.78,2345.53,2345.62,0.0
2017-04-19 18:51:00,2345.5,2345.51,2345.34,2345.51,0.0
2017-04-19 18:52:00,2345.89,2345.91,2345.51,2345.51,0.0
2017-04-19 18:53:00,2345.85,2345.95,2345.84,2345.9,0.0
2017-04-19 18:54:00,2346.33,2346.33,2345.83,2345.84,0.0
2017-04-19 18:55:00,2346.43,2346.43,2346.29,2346.35,0.0
2017-04-19 18:56:00,2346.6,2346.71,2346.37,2346.42,0.0
2017-04-19 18:57:00,2346.25,2346.64,2346.24,2346.61,0.0
2017-04-19 18:58:00,2346.21,2346.27,2346.11,2346.26,0.0
2017-04-19 18:59:00,2346.36,2346.47,2346.12,2346.2,0.0
2017-04-19 19:00:00,2346.08,2346.48,2346.06,2346.36,0.0
2017-04-19 19:01:00,2346.07,2346.08,2346.0,2346.07,0.0
2017-04-19 19:02:00,2346.04,2346.07,2346.02,2346.07,0.0
2017-04-19 19:03:00,2345.22,2346.03,2345.2,2346.03,0.0
2017-04-19 19:04:00,2344.31,2345.23,2344.07,2345.22,0.0
2017-04-19 19:05:00,2344.15,2344.61,2344.15,2344.29,0.0
2017-04-19 19:06:00,2344.28,2344.29,2343.92,2344.05,0.0
2017-04-19 19:07:00,2344.09,2344.31,2344.0,2344.3,0.0
2017-04-19 19:08:00,2343.97,2344.12,2343.53,2344.09,0.0
2017-04-19 19:09:00,2343.78,2343.98,2343.71,2343.94,0.0
2017-04-19 19:10:00,2343.35,2343.82,2343.19,2343.79,0.0
2017-04-19 19:11:00,2343.35,2343.53,2343.19,2343.36,0.0
2017-04-19 19:12:00,2342.99,2343.48,2342.99,2343.35,0.0
2017-04-19 19:13:00,2342.27,2343.03,2342.24,2342.98,0.0
2017-04-19 19:14:00,2342.58,2342.58,2342.04,2342.33,0.0
2017-04-19 19:15:00,2342.5,2343.02,2342.5,2342.61,0.0
2017-04-19 19:16:00,2343.18,2343.18,2342.28,2342.44,0.0
2017-04-19 19:17:00,2343.29,2343.46,2343.12,2343.19,0.0
2017-04-19 19:18:00,2343.2,2343.33,2343.19,2343.29,0.0
2017-04-19 19:19:00,2343.4,2343.51,2342.92,2343.13,0.0
2017-04-19 19:20:00,2343.22,2343.41,2342.94,2343.41,0.0
2017-04-19 19:21:00,2343.42,2343.47,2343.17,2343.23,0.0
2017-04-19 19:22:00,2343.66,2343.76,2343.5,2343.52,0.0
2017-04-19 19:23:00,2344.78,2344.78,2343.64,2343.66,0.0
2017-04-19 19:24:00,2345.14,2345.22,2344.6,2344.76,0.0
2017-04-19 19:25:00,2344.67,2345.13,2344.67,2345.13,0.0
2017-04-19 19:26:00,2344.73,2344.8,2344.69,2344.69,0.0
2017-04-19 19:27:00,2344.36,2344.72,2344.36,2344.72,0.0
2017-04-19 19:28:00,2344.18,2344.37,2344.11,2344.37,0.0
2017-04-19 19:29:00,2344.35,2344.42,2344.18,2344.19,0.0
2017-04-19 19:30:00,2344.0,2344.34,2344.0,2344.34,0.0
2017-04-19 19:31:00,2343.67,2344.01,2343.67,2344.0,0.0
2017-04-19 19:32:00,2344.07,2344.07,2343.49,2343.67,0.0
2017-04-19 19:33:00,2343.93,2344.1,2343.78,2344.08,0.0
2017-04-19 19:34:00,2344.09,2344.18,2343.95,2343.95,0.0
2017-04-19 19:35:00,2343.99,2344.08,2343.88,2344.08,0.0
2017-04-19 19:36:00,2343.22,2343.98,2343.21,2343.98,0.0
2017-04-19 19:37:00,2343.62,2343.71,2343.27,2343.27,0.0
2017-04-19 19:38:00,2343.73,2343.74,2343.57,2343.64,0.0
2017-04-19 19:39:00,2343.79,2343.79,2343.62,2343.72,0.0
2017-04-19 19:40:00,2343.56,2343.85,2343.56,2343.79,0.0
2017-04-19 19:41:00,2342.99,2343.58,2342.93,2343.54,0.0
2017-04-19 19:42:00,2343.94,2344.0,2343.04,2343.04,0.0
2017-04-19 19:43:00,2343.77,2343.98,2343.7,2343.95,0.0
2017-04-19 19:44:00,2343.46,2344.02,2343.38,2343.77,0.0
